run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,player1_collision_counter,player2_collision_counter,player3_collision_counter,player4_collision_counter,collision_count_total
2.6053,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.6297,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.6524,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.6752,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.6979,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.7207,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.7433,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.7658,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.7889,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.8115,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.8344,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.8565,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.8791,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.9209,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.9317,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.9501,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.9734,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
2.9972,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
3.0203,1,0,0,0,0,-1.0000,0.0000,0,0,0,0,0
3.0428,1,0,0,0,1,-1.0000,2.0000,0,0,0,0,0
3.0662,1,0,0,0,1,-1.0000,3.0000,0,0,0,0,0
3.0886,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.1119,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.1348,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.1592,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.1824,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.2059,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.2275,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.2506,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.2734,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.2959,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.3190,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.3414,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.3645,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.3867,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.4093,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.4321,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.4546,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.4768,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.4989,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.5214,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.5435,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.5664,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.5887,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.6109,1,0,0,0,0,-1.0000,3.0000,0,0,0,0,0
3.6326,1,0,0,0,1,-1.0000,4.0000,0,0,0,0,0
3.6573,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.6782,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.6999,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.7225,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.7445,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.7667,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.7895,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.8111,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.8348,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.8557,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.8782,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.8988,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.9208,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.9428,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.9649,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
3.9870,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.0086,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.0308,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.0531,1,0,0,0,0,-1.0000,2.0000,0,0,0,0,0
4.0752,1,0,0,0,0,-1.0000,1.0000,0,0,0,0,0
4.0977,1,0,0,0,1,-1.0000,2.0000,0,0,0,0,0
4.1193,1,0,0,0,1,-1.0000,3.0000,0,0,0,0,0
4.1419,1,0,0,0,1,-1.0000,4.0000,0,0,0,0,0
4.1828,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.1942,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.2103,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.2326,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.2552,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.2771,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.2999,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.3226,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.3455,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.3679,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
4.3903,1,0,0,0,0,-1.0000,4.0000,0,0,0,0,0
