run_time,frame,delta_time,speed,pos_x,pos_y,pos_z,steer,throttle,brake,slow_brake,input_count_frame,inputs_per_second,collision_count,last_warning_reaction,last_hazard_reaction,last_drift_reaction,last_reaction_type,last_cue_type
1.7972,1792,0.0229,5.7325,25.3287,-136.0900,742.9584,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.8195,1793,0.0222,5.8241,25.3287,-136.0900,742.9584,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.8421,1794,0.0227,5.9131,25.3264,-136.0900,743.3440,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.8650,1795,0.0228,6.0037,25.3264,-136.0900,743.3440,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.8879,1796,0.0229,6.0950,25.3264,-136.0900,743.3440,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.9108,1797,0.0229,6.1867,25.3240,-136.0900,743.7626,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.9342,1798,0.0234,6.2783,25.3240,-136.0900,743.7626,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.9565,1799,0.0223,6.3720,25.3221,-136.0900,744.0648,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
1.9789,1800,0.0224,6.4613,25.3221,-136.0900,744.0648,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.0017,1801,0.0227,6.5508,25.3221,-136.0900,744.0648,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.0244,1802,0.0228,6.6418,25.3195,-136.0900,744.4978,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.0475,1803,0.0231,6.7329,25.3195,-136.0900,744.4979,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.0706,1804,0.0231,6.8254,25.3195,-136.0900,744.4979,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.0930,1805,0.0224,6.9176,25.3167,-136.0900,744.9684,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.1158,1806,0.0228,7.0071,25.3167,-136.0900,744.9684,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.1385,1807,0.0228,7.0982,25.3167,-136.0900,744.9684,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.1614,1808,0.0228,7.1893,25.3137,-136.0900,745.4593,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.1849,1809,0.0236,7.2806,25.3137,-136.0900,745.4593,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.2068,1810,0.0218,7.3749,25.3137,-136.0900,745.4593,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.2288,1811,0.0220,7.4623,25.3108,-136.0900,745.9534,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.2515,1812,0.0227,7.5502,25.3108,-136.0900,745.9534,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.2746,1813,0.0231,7.6412,25.3087,-136.0900,746.2941,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.2974,1814,0.0229,7.7335,25.3087,-136.0900,746.2941,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.3192,1815,0.0218,7.8249,25.3087,-136.0900,746.2941,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.3419,1816,0.0227,7.9121,25.3055,-136.0900,746.8325,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.3650,1817,0.0231,8.0029,25.3055,-136.0900,746.8325,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.3876,1818,0.0226,8.0951,25.3055,-136.0900,746.8325,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.4105,1819,0.0229,8.1856,25.3024,-136.0900,747.3775,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.4329,1820,0.0224,8.2772,25.3024,-136.0900,747.3775,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.4561,1821,0.0232,8.3667,25.3002,-136.0900,747.7554,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.4787,1822,0.0225,8.4597,25.3002,-136.0900,747.7554,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.5016,1823,0.0229,8.5499,25.3002,-136.0900,747.7554,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.5243,1824,0.0227,8.6415,25.2966,-136.0900,748.3491,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.5473,1825,0.0230,8.7323,25.2966,-136.0900,748.3491,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.5699,1826,0.0226,8.8243,25.2966,-136.0900,748.3491,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.5930,1827,0.0231,8.9147,25.2932,-136.0900,748.9452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.6158,1828,0.0228,9.0072,25.2932,-136.0900,748.9452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.6384,1829,0.0226,9.0984,25.2932,-136.0900,748.9452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.6612,1830,0.0228,9.1889,25.2896,-136.0900,749.5735,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.6865,1831,0.0253,9.2801,25.2896,-136.0900,749.5735,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.7085,1832,0.0220,9.3813,25.2896,-136.0900,749.5735,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.7309,1833,0.0224,9.4692,25.2858,-136.0900,750.2285,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.7537,1834,0.0228,9.5588,25.2858,-136.0900,750.2285,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.7764,1835,0.0227,9.6502,25.2833,-136.0900,750.6616,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.7997,1836,0.0232,9.7409,25.2833,-136.0900,750.6617,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.8226,1837,0.0229,9.8339,25.2833,-136.0900,750.6617,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.8452,1838,0.0226,9.9256,25.2795,-136.0900,751.3456,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.8683,1839,0.0231,10.0159,25.2795,-136.0900,751.3456,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.8915,1840,0.0232,10.1084,25.2795,-136.0900,751.3456,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.9139,1841,0.0224,10.2012,25.2758,-136.0900,752.0367,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.9367,1842,0.0228,10.2908,25.2758,-136.0900,752.0366,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.9603,1843,0.0237,10.3819,25.2758,-136.0900,752.0366,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
2.9825,1844,0.0222,10.4765,25.2719,-136.0900,752.7538,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.0059,1845,0.0234,10.5653,25.2719,-136.0900,752.7538,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.0285,1846,0.0226,10.6588,25.2719,-136.0900,752.7538,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.0515,1847,0.0230,10.7493,25.2679,-136.0900,753.4805,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.0737,1848,0.0222,10.8412,25.2679,-136.0900,753.4805,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.0967,1849,0.0230,10.9300,25.2654,-136.0900,753.9707,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.1199,1850,0.0232,11.0221,25.2654,-136.0900,753.9707,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.1429,1851,0.0230,11.1149,25.2654,-136.0900,753.9707,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.1659,1852,0.0230,11.2069,25.2614,-136.0900,754.7452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.1892,1853,0.0233,11.2990,25.2614,-136.0900,754.7452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.2129,1854,0.0237,11.3920,25.2587,-136.0900,755.2673,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.2352,1855,0.0223,11.4868,25.2587,-136.0900,755.2673,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.2584,1856,0.0232,11.5761,25.2587,-136.0900,755.2673,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.2812,1857,0.0228,11.6688,25.2546,-136.0900,756.0685,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.3049,1858,0.0238,11.7598,25.2546,-136.0900,756.0685,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.3274,1859,0.0225,11.8549,25.2546,-136.0900,756.0685,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.3509,1860,0.0235,11.9448,25.2506,-136.0900,756.8875,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.3736,1861,0.0227,12.0388,25.2506,-136.0900,756.8875,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.3968,1862,0.0232,12.1298,25.2479,-136.0900,757.4452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.4206,1863,0.0238,12.2225,25.2479,-136.0900,757.4452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.4432,1864,0.0226,12.3175,25.2479,-136.0900,757.4452,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.4665,1865,0.0233,12.4081,25.2439,-136.0900,758.3051,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.4887,1866,0.0222,12.5013,25.2439,-136.0900,758.3051,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.5125,1867,0.0238,12.5902,25.2439,-136.0900,758.3051,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.5353,1868,0.0228,12.6853,25.2400,-136.0900,759.1761,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.5585,1869,0.0232,12.7764,25.2400,-136.0900,759.1761,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.5817,1870,0.0232,12.8693,25.2400,-136.0900,759.1761,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.6051,1871,0.0234,12.9620,25.2361,-136.0900,760.0680,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.6283,1872,0.0232,13.0557,25.2361,-136.0900,760.0681,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
3.6510,1873,0.0227,13.1484,25.2361,-136.0900,760.0681,0.0000,1.0000,0.0000,0.0000,0,0,0,-1.0000,-1.0000,-1.0000,,
