run_time;current_driver_player_number;driver_changed_this_frame;driver_change_count_total;curve_active;warning_active;driver_input_this_frame;inputs_per_second;player1_collision_counter;player2_collision_counter;player3_collision_counter;player4_collision_counter;collision_count_total
32.22937;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.25319;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.27704;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.30185;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.32413;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.34621;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.37123;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.39618;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.41833;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.44115;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.46561;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.49116;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.51196;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.53545;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.55806;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.58118;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.60593;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.6305;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.6552;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.67922;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.70323;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.7261;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.74968;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.77527;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.80554;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.83957;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.86131;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.88571;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.90698;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.92936;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.95384;1;0;0;False;0;0;0.0000;0;0;0;0;0
32.9792;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.0009;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.02781;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.05162;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.07436;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.103;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.12641;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.1489;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.17235;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.19483;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.21529;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.23925;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.26622;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.28915;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.31442;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.33589;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.3598;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.38342;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.40502;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.42785;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.44986;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.47323;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.49603;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.51817;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.54093;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.56323;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.58631;1;0;0;False;0;0;0.0000;0;0;0;0;0
33.6078;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.63068;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.65359;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.67605;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.69876;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.72153;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.74377;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.76651;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.79024;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.81399;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.83713;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.85777;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.88267;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.90467;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.92883;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.95031;1;0;0;False;1;0;0.0000;0;0;0;0;0
33.97396;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.00044;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.02451;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.04812;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.07344;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.09674;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.12122;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.14466;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.16866;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.19168;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.21804;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.2405;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.26358;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.28692;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.31127;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.33648;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.35831;1;0;0;False;1;0;0.0000;0;0;0;0;0
34.38409;1;0;0;False;1;0;0.0000;0;0;0;0;0
