run_time,current_driver_player_number,driver_changed_this_frame,driver_change_count_total,warning_active,driver_input_this_frame,warning_reaction_time,inputs_per_second,warning_obstacle_result,collision_count_total
1.9876,-1,0,0,0,0,-1.0000,3.0000,,0
2.0111,-1,0,0,0,0,-1.0000,3.0000,,0
2.0362,-1,0,0,0,0,-1.0000,3.0000,,0
2.0637,-1,0,0,0,0,-1.0000,3.0000,,0
2.0890,-1,0,0,0,0,-1.0000,3.0000,,0
2.1134,-1,0,0,0,0,-1.0000,3.0000,,0
2.1375,-1,0,0,0,0,-1.0000,3.0000,,0
2.1633,-1,0,0,0,0,-1.0000,3.0000,,0
2.1906,-1,0,0,0,0,-1.0000,3.0000,,0
2.2148,-1,0,0,0,0,-1.0000,3.0000,,0
2.2610,-1,0,0,0,0,-1.0000,3.0000,,0
2.2745,-1,0,0,0,0,-1.0000,3.0000,,0
2.2928,-1,0,0,0,0,-1.0000,3.0000,,0
2.3197,-1,0,0,0,0,-1.0000,3.0000,,0
2.3459,-1,0,0,0,0,-1.0000,3.0000,,0
2.3714,-1,0,0,0,0,-1.0000,3.0000,,0
2.3983,-1,0,0,0,0,-1.0000,3.0000,,0
2.4234,-1,0,0,0,0,-1.0000,3.0000,,0
2.4482,-1,0,0,0,0,-1.0000,3.0000,,0
2.4737,-1,0,0,0,0,-1.0000,3.0000,,0
2.5012,-1,0,0,0,0,-1.0000,3.0000,,0
2.5278,-1,0,0,0,0,-1.0000,3.0000,,0
2.5516,-1,0,0,0,0,-1.0000,3.0000,,0
2.5787,-1,0,0,0,0,-1.0000,3.0000,,0
2.6023,-1,0,0,0,0,-1.0000,3.0000,,0
2.6281,-1,0,0,0,0,-1.0000,3.0000,,0
2.6529,-1,0,0,0,0,-1.0000,3.0000,,0
2.6766,-1,0,0,0,0,-1.0000,3.0000,,0
2.7015,-1,0,0,0,0,-1.0000,2.0000,,0
2.7300,-1,0,0,0,0,-1.0000,1.0000,,0
2.7531,-1,0,0,0,0,-1.0000,0.0000,,0
2.7808,-1,0,0,0,0,-1.0000,0.0000,,0
